index,NPS-id,DN-id,OD[mm]
20,1/8 in,DN 6,10.29
21,1/4 in,DN 8,13.72
22,3/8 in,DN 10,17.15
23,1/2 in,DN 15,21.34
24,3/4 in,DN 20,26.67
25,1 in,DN 25,33.4
26,1 1/4 in,DN 32,42.16
27,1 1/2 in,DN 40,48.26
28,2 in,DN 50,60.33
29,2 1/2 in,DN 65,73.03
30,3 in,DN 80,88.9
31,3 1/2 in,DN 90,101.6
32,4 in,DN 100,114.3
33,4 1/2 in,DN 115,127
34,5 in,DN 125,141.3
35,6 in,DN 150,168.28
36,8 in,DN 200,219.08
37,10 in,DN 250,273.05
38,12 in,DN 300,323.85
39,14 in,DN 350,355.6
40,16 in,DN 400,406.4
41,18 in,DN 450,457.2
42,20 in,DN 500,508
43,22 in,DN 550,558.8
44,24 in,DN 600,609.6
45,26 in,DN 650,660.4
46,28 in,DN 700,711.2
47,30 in,DN 750,762
48,32 in,DN 800,812.8
49,34 in,DN 850,863.6
50,36 in,DN 900,914.4
51,40 in,DN 1000,1016
52,42 in,DN 1050,1066.8
53,44 in,DN 1100,1117.6
54,46 in,DN 1150,1168.4
55,48 in,DN 1200,1219.2
56,52 in,DN 1300,1320.8
57,56 in,DN 1400,1422.4
58,60 in,DN 1500,1524
59,64 in,DN 1600,1625.6
60,68 in,DN 1700,1727.2
61,72 in,DN 1800,1828.8
62,76 in,DN 1900,1930.4
63,80 in,DN 2000,2032
64,88 in,DN 2200,2235.2
65,92 in,DN 2300,2336.8